Model,RMSE,MAE,Rank,Improvement vs Baseline %
Bias-SVD (MF+Bias),122.82850997396815,29.280426624908937,1.0,5.08
User-CF (k=20),125.06243074227991,45.49029694032346,2.0,3.36
FunkSVD-v2 (Optimized),126.88816439718767,17.69862753371425,3.0,1.95
Item-CF (k=20),126.95309342124725,45.23881219611794,4.0,1.9
Baseline (Mean),129.40646447939935,53.976806865245365,5.0,0.0
Baseline (User Avg),152.4522060515534,57.799414622681596,6.0,-17.81
FunkSVD (Original),1329.6129592208424,1323.6550714351918,7.0,-927.47
